su_id,std_dem,avg_plan_c,std_plan_c,avg_prof_c,std_prof_c,dis2river,land cover,dis2faults,avg_slope,std_slope,lithology,medi_aspec
114,114.4221039,33.12195587,18.27144051,9.303894043,5.58798933,3477.229095,3,3062.269193,21.77702141,7.313014984,4,90.34370422
115,151.4146423,22.68777466,16.0520134,8.673957825,5.579025269,1889.285957,3,20048.90905,31.39960289,8.146267891,2,254.6798401
116,153.2918854,26.19037628,18.60855103,9.683572769,6.493775368,2934.221633,3,21874.2355,30.16692543,9.52567482,2,68.50747681
117,112.5363235,31.79150963,18.70335579,10.15691566,6.008912563,535.1140092,3,32105.48857,25.49012756,10.05437851,4,148.6452179
118,86.95779419,36.10658646,17.77413368,6.424025059,3.801329136,2324.944418,3,34877.73583,13.92318058,7.754049301,4,141.7376404
119,28.84272003,35.76585388,17.34597206,13.50732327,5.836740494,2704.039868,3,1358.117079,9.364877701,3.001481056,2,236.5993042
120,105.7092361,29.39369011,19.00389481,6.887831211,3.934888124,3216.361435,3,831.6775245,10.70260334,4.119465351,2,295.9743958
121,115.5138855,28.53495979,18.86782074,7.711728096,4.402851105,4437.475103,3,23505.11231,19.95213509,3.650728226,2,88.96530914
122,104.0633545,28.67790604,23.41112328,7.774136066,5.238593102,4112.947995,3,22391.25518,22.74521637,8.722659111,2,276.7661743
123,114.1127396,28.45927811,15.77327824,9.80702877,6.237284184,1374.38791,3,12982.04786,24.40885925,9.743351936,4,245.9776917
124,20.40982246,32.20167923,16.98670006,5.57438755,3.184113026,3081.765684,3,7117.465813,3.231215,1.20691061,5,121.7174683
125,113.1185913,27.2613163,15.30120182,5.702105999,3.441586018,2365.330258,3,6405.036038,11.99107933,5.749697208,2,219.5596619
126,67.41098022,33.71231079,19.57564163,9.588285446,6.726147175,903.70488,3,7483.487184,18.01263809,10.78675079,4,69.10223389
127,150.1026917,28.16400337,18.09953117,9.226915359,6.095038414,1032.454247,3,16873.37536,27.05993271,10.9738369,2,240.4612122
128,129.4743195,49.7390976,28.79847145,10.22270584,6.269743443,76.16447772,1,34231.37903,30.54421043,7.551999569,4,324.7617798
129,94.06790924,31.00782013,17.52638054,11.76156425,6.432602406,1213.350175,3,13507.7758,26.73007202,11.73343945,4,113.7777252
130,92.94697571,50.93469238,29.38771439,10.68025684,6.827579498,55.40940702,1,32151.07935,28.1517067,6.485490799,4,22.42042542
131,100.4265747,34.34806824,25.57527161,8.858660698,5.205738068,1150.148871,1,27777.68042,29.04972458,8.171615601,4,314.2747803
